Designator,Mid X,Mid Y,Layer,Rotation
C1,40.5,19,Top,90
C2,46,19,Top,270
C3,7,10,Top,0
C4,7,39,Top,180
C6,43,34,Top,180
C7,44.9,31,Top,90
C8,47.3,31,Top,90
C9,39,28.5,Top,180
C10,51,27.6,Top,0
C11,48.4,19,Top,270
C12,39,24,Top,180
C13,51,24.1,Top,0
C14,52,22,Top,0
C15,48.5,31,Top,90
C16,7,21,Top,0
C17,16,33,Top,180
C18,7,32,Top,0
D1,63,12,Top,180
D2,63,13,Top,180
D3,63,14,Top,180
D4,63,15,Top,180
D5,63,16,Top,180
D6,63,17,Top,180
D8,16,15,Top,180
D9,16,30,Top,180
FID1,60.062,21.608,Top,0
J1,4.731,46,Top,90
J2,57.15,2.54,Top,180
J3,37.11,2.54,Top,180
J4,54.61,50.8,Top,180
J5,30.226,50.8,Top,0
J6,66,28.27,Top,90
L1,24,10,Top,90
L2,24,25,Top,90
R1,45.7,31,Top,270
R2,46.5,31,Top,270
R3,37,38,Top,0
R4,47,19,Top,90
R5,35,31,Top,270
R6,42.817,13.76,Top,90
R7,66,12,Top,0
R8,66,13,Top,0
R9,66,14,Top,0
R10,66,15,Top,0
R11,66,16,Top,0
R12,66,17,Top,0
R14,11,48,Top,180
R15,11,44.4,Top,180
R16,51,31,Top,270
R17,50,31,Top,90
S1,31,38,Top,0
S2,31,31,Top,0
U1,45,25,Top,0
U3,45,38,Top,270
U4,40.006,13.76,Top,90
U5,17,10,Top,180
U6,17,25,Top,180
Y1,43,19,Top,180
